user_id,R,F,M,R_score,F_score,M_score,RFM,label
2087,2,1,84.0,1,0,0,100,一般发展用户
2089,2,3,575.5,1,1,1,111,核心价值用户
2090,1,2,206.79999999999998,1,1,0,110,高潜力用户
2093,5,1,96.8,0,0,0,000,流失用户
2094,1,5,535.3000000000001,1,1,1,111,核心价值用户
2097,3,3,467.7,0,1,1,011,重点保持用户
2098,2,1,178.0,1,0,0,100,一般发展用户
2099,1,2,180.0,1,1,0,110,高潜力用户
2100,4,2,203.70000000000002,0,1,0,010,一般保持用户
2104,2,2,78.8,1,1,0,110,高潜力用户
2105,1,4,424.5,1,1,1,111,核心价值用户
2107,1,1,110.8,1,0,0,100,一般发展用户
2108,3,2,93.6,0,1,0,010,一般保持用户
2109,1,2,529.7,1,1,1,111,核心价值用户
2110,2,4,594.9,1,1,1,111,核心价值用户
2112,5,1,172.2,0,0,0,000,流失用户
2113,2,1,210.60000000000002,1,0,1,101,高消费流失预警用户
2116,3,3,474.0,0,1,1,011,重点保持用户
2117,1,3,325.0,1,1,1,111,核心价值用户
2118,1,5,744.9,1,1,1,111,核心价值用户
2119,2,3,391.9,1,1,1,111,核心价值用户
2120,5,3,248.0,0,1,1,011,重点保持用户
2121,5,4,458.59999999999997,0,1,1,011,重点保持用户
2123,2,4,139.20000000000002,1,1,0,110,高潜力用户
2125,1,4,504.3,1,1,1,111,核心价值用户
2127,2,2,52.5,1,1,0,110,高潜力用户
2128,1,2,401.40000000000003,1,1,1,111,核心价值用户
2133,6,1,208.4,0,0,1,001,高消费沉睡用户
2134,2,1,78.8,1,0,0,100,一般发展用户
2136,2,2,623.1,1,1,1,111,核心价值用户
2137,1,2,270.4,1,1,1,111,核心价值用户
2139,4,1,187.8,0,0,0,000,流失用户
2140,3,3,218.5,0,1,1,011,重点保持用户
2141,3,5,682.2,0,1,1,011,重点保持用户
2143,2,2,447.7,1,1,1,111,核心价值用户
2144,1,5,500.4,1,1,1,111,核心价值用户
2145,2,1,268.8,1,0,1,101,高消费流失预警用户
2147,3,1,218.0,0,0,1,001,高消费沉睡用户
2148,6,1,47.6,0,0,0,000,流失用户
2149,2,6,401.70000000000005,1,1,1,111,核心价值用户
2152,2,3,360.0,1,1,1,111,核心价值用户
2153,3,4,540.5,0,1,1,011,重点保持用户
2166,2,8,523.6,1,1,1,111,核心价值用户
2167,2,6,1255.4,1,1,1,111,核心价值用户
2169,1,2,277.6,1,1,1,111,核心价值用户
2170,5,1,255.6,0,0,1,001,高消费沉睡用户
2173,1,2,137.7,1,1,0,110,高潜力用户
2178,2,1,200.8,1,0,0,100,一般发展用户
2179,4,1,189.4,0,0,0,000,流失用户
2180,1,1,119.2,1,0,0,100,一般发展用户
2181,1,10,677.0,1,1,1,111,核心价值用户
2182,1,1,81.0,1,0,0,100,一般发展用户
2184,4,1,204.89999999999998,0,0,0,000,流失用户
2185,1,3,470.4,1,1,1,111,核心价值用户
2186,1,8,1165.2,1,1,1,111,核心价值用户
2187,2,4,546.1,1,1,1,111,核心价值用户
2189,5,2,660.0,0,1,1,011,重点保持用户
2190,5,7,732.8,0,1,1,011,重点保持用户
2192,1,2,132.4,1,1,0,110,高潜力用户
2196,1,2,72.8,1,1,0,110,高潜力用户
2197,1,1,161.10000000000002,1,0,0,100,一般发展用户
2198,4,2,264.0,0,1,1,011,重点保持用户
2199,1,4,886.2,1,1,1,111,核心价值用户
2200,4,2,108.7,0,1,0,010,一般保持用户
2201,5,1,62.8,0,0,0,000,流失用户
2205,2,3,221.0,1,1,1,111,核心价值用户
2208,5,1,55.0,0,0,0,000,流失用户
2209,6,2,251.79999999999998,0,1,1,011,重点保持用户
2211,1,4,560.6,1,1,1,111,核心价值用户
2213,5,1,104.69999999999999,0,0,0,000,流失用户
2215,4,2,115.19999999999999,0,1,0,010,一般保持用户
2217,5,1,174.60000000000002,0,0,0,000,流失用户
2220,6,4,651.9,0,1,1,011,重点保持用户
2224,1,3,351.6,1,1,1,111,核心价值用户
2225,1,5,510.9,1,1,1,111,核心价值用户
2228,4,3,284.40000000000003,0,1,1,011,重点保持用户
2229,2,3,219.4,1,1,1,111,核心价值用户
2230,4,1,212.70000000000002,0,0,1,001,高消费沉睡用户
2231,6,2,238.90000000000003,0,1,1,011,重点保持用户
2233,6,3,189.4,0,1,0,010,一般保持用户
2236,4,1,15.5,0,0,0,000,流失用户
2240,2,6,406.29999999999995,1,1,1,111,核心价值用户
2242,2,3,797.7,1,1,1,111,核心价值用户
2243,2,2,213.1,1,1,1,111,核心价值用户
2244,6,1,123.2,0,0,0,000,流失用户
2245,2,2,82.7,1,1,0,110,高潜力用户
2246,6,1,94.2,0,0,0,000,流失用户
2247,6,1,9.8,0,0,0,000,流失用户
2249,3,5,672.9000000000001,0,1,1,011,重点保持用户
2251,2,1,72.5,1,0,0,100,一般发展用户
2256,1,6,582.2,1,1,1,111,核心价值用户
2259,6,1,63.3,0,0,0,000,流失用户
2260,2,2,317.6,1,1,1,111,核心价值用户
2261,1,4,507.70000000000005,1,1,1,111,核心价值用户
2262,1,6,666.2,1,1,1,111,核心价值用户
2268,3,1,137.6,0,0,0,000,流失用户
2269,3,1,215.39999999999998,0,0,1,001,高消费沉睡用户
